Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT,OD_Board,OD_Board_FromSkim_LCL,OD_Board_FromSkim_COR,OD_Board_FromSkim_BRT,OD_Board_FromSkim_EXP,OD_Board_FromSkim_LRT,OD_Board_FromSkim_CRT
All,ok,drive,0178_000.2,65403_65402,EB,  65403.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      2.29,      2.29,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.15,      1.15,         0,         0,         0,         0,         0
All,ok,drive,0178_000.2,65402_65401,EB,  65402.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.2,65401_65400,EB,  65401.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.7,65400_65399,EB,  65400.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,65399_65398,EB,  65399.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65398_65414,NB,  65398.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65414_65433,NB,  65414.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65433_65443,NB,  65433.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65443_71081,NB,  65443.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.0,71081_65494,NB,  71081.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,65494_71090,EB,  65494.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
