Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT,OD_Board,OD_Board_FromSkim_LCL,OD_Board_FromSkim_COR,OD_Board_FromSkim_BRT,OD_Board_FromSkim_EXP,OD_Board_FromSkim_LRT,OD_Board_FromSkim_CRT
All,ok,drive,0178_000.2,65403_65402,EB,  65403.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      1.90,      1.90,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.95,      0.95,         0,         0,         0,         0,         0
All,ok,drive,0178_000.2,65402_65401,EB,  65402.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.2,65401_65400,EB,  65401.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.7,65400_65399,EB,  65400.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,65399_65398,EB,  65399.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65398_65414,NB,  65398.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65414_65433,NB,  65414.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65433_65443,NB,  65433.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65443_71081,NB,  65443.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.0,71081_65494,NB,  71081.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,65494_71090,EB,  65494.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,71090_65509,EB,  71090.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65509_65508,EB,  65509.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65508_65506,EB,  65508.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_005.9,65506_65505,EB,  65506.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_005.9,65505_65507,EB,  65505.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65507_65513,EB,  65507.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65513_71157,EB,  65513.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,71157_65524,EB,  71157.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65524_65531,EB,  65524.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.21,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65531_65539,EB,  65531.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65539_65556,EB,  65539.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65556_65566,EB,  65556.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65566_65580,EB,  65566.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65580_65592,EB,  65580.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65592_65603,EB,  65592.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65603_65624,EB,  65603.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_008.7,65624_65627,EB,  65624.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
