O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,642,5167,679,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,756,11743,1008,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2077,43642,2200,47015
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,880,19849,929,20058
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2099,38559,2034,37181
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1884,32376,1670,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2239,32788,2100,32889
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,638,8757,575,8413
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,936,14883,887,14856
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,999,9464,982,9545
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,531,5412,533,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,483,7414,626,6449
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1212,17855,1133,17626
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,764,10889,902,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1049,18585,1105,19315
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1339,29618,1532,31797
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1072,17670,1074,17450
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1900,36702,1933,36856
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1547,40661,1595,42519
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1430,23716,1444,23649
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,695,7500,657,7533
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1606,39733,1637,39529
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,755,15375,969,15625
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1574,28888,1573,34861
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1334,21750,1315,19334
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1819,43650,1741,43908
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,656,9586,654,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,913,10637,861,10789
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,584,6447,554,6390
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2145,56917,2142,58884
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1060,15333,998,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1350,18359,1335,18807
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1642,32596,1603,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3056,73275,2914,75294
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,711,7787,690,8050
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1648,37119,1520,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2226,46681,2218,49155
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2517,59720,2547,59679
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,494,6516,509,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,906,10722,958,11058
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2028,45306,1970,45263
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1711,41841,2087,41818
